phi,sigma,total_time,max_ac225_yield,time_to_peak
870222350573890.0,1e-24,492.44325990149605,2.0919164530141426e+20,492.44325990149605
37709996402629.83,1e-24,369.53921374457894,6.107135009983563e+18,369.53921374457894
316203793505788.06,1e-24,179.7815020433939,1.6152584383265726e+19,179.7815020433939
17690477264454.797,1e-24,30.06401054000268,3.2006560290414224e+16,30.06401054000268
358662734310122.94,1e-24,249.95287349028388,3.1793806698417144e+19,249.95287349028388
935578728380063.0,1e-24,237.83699353488998,7.64769077076016e+19,237.83699353488998
903304051526953.5,1e-24,211.67224107508935,6.08820398459301e+19,211.67224107508935
386691210907916.44,1e-24,51.56144343279771,1.9881853756979986e+18,51.56144343279771
129099161127171.19,1e-24,403.00929562300485,2.367051130575024e+19,403.00929562300485
706973824454340.5,1e-24,413.0657144025415,1.3414072002788844e+20,413.0657144025415
11856089099377.71,1e-24,192.62414724029975,6.816290134538451e+17,192.62414724029975
12514022878375.846,1e-24,63.54832264613342,9.588535651929878e+16,63.54832264613342
224187429441700.53,1e-24,359.4965161927321,3.4871687483571905e+19,359.4965161927321
352729161116066.5,1e-24,434.0737085472748,7.169384215412703e+19,434.0737085472748
301205527154362.44,1e-24,402.4270801322497,5.510862399511985e+19,402.4270801322497
12529317644298.307,1e-24,124.9222237162363,3.366601883255762e+17,124.9222237162363
175305502007776.1,1e-24,430.48139926616335,3.5231662226822164e+19,430.48139926616335
10209400711241.576,1e-24,262.1683776370114,9.774227191562564e+17,262.1683776370114
226242816520958.28,1e-24,24.507571673020472,2.7444494537253805e+17,24.507571673020472
63490846164624.97,1e-24,448.86109187801145,1.3508751186283303e+19,448.86109187801145
220407118943724.16,1e-24,126.45259804669269,6.053521838357404e+18,126.45259804669269
507647508764981.6,1e-24,180.53539747066202,2.6118309101131514e+19,180.53539747066202
508966668904656.06,1e-24,156.4823890482637,2.0422967575803064e+19,156.4823890482637
151579511028302.7,1e-24,204.5006331964387,9.643656497888272e+18,204.5006331964387
35452764148364.414,1e-24,444.41320546421593,7.442325374036868e+18,444.41320546421593
23723969874454.61,1e-24,51.55767970552392,1.2196328196281552e+17,51.55767970552392
48289629920633.016,1e-24,361.6431823443681,7.577815641752252e+18,361.6431823443681
411967742779765.2,1e-24,499.38425133271477,1.0087145970275521e+20,499.38425133271477
39149310173804.914,1e-24,209.89155605432828,2.602164030674178e+18,209.89155605432828
18777706906785.34,1e-24,291.68724551528646,2.1281472991024448e+18,291.68724551528646
988917527872026.5,1e-24,353.4316949591227,1.499640675783148e+20,353.4316949591227
155033546104489.75,1e-24,202.26085553167906,9.681885072931932e+18,202.26085553167906
677013798904017.2,1e-24,253.4891321038712,6.1386183412054606e+19,253.4891321038712
18566661800371.35,1e-24,189.0354469675754,1.0337456542646115e+18,189.0354469675754
